id_achat,id_livre,id_utilisateur,id_bibliotheque,date_achat,quantite,montant_total_dt
68,176,95,9,2024-10-13,1,115.38
69,16,102,5,2025-03-24,3,99.63
70,32,117,2,2024-03-24,2,44.54
71,165,6,1,2023-11-28,2,40.54
72,63,33,10,2025-09-02,3,146.91
73,18,142,4,2025-03-02,2,107.04
74,56,60,6,2025-02-23,5,175.9
75,153,1,5,2024-07-12,2,108.52
76,34,139,5,2025-06-13,2,77.94
77,29,7,3,2025-02-09,2,227.34
78,92,61,10,2025-06-28,1,72.17
79,5,45,5,2025-06-23,3,63.33
80,33,108,9,2023-11-22,1,59.91
81,191,17,8,2025-03-04,1,52.13
82,200,93,9,2024-02-15,4,368.92
83,28,116,9,2024-04-12,5,188.3
84,158,12,9,2024-03-10,2,20.08
85,118,8,1,2024-04-04,3,210.03
86,103,110,2,2024-12-03,4,309.12
87,183,114,2,2025-06-15,4,434.76
88,83,38,2,2024-04-07,1,69.64
89,71,150,9,2024-02-01,2,197.76
90,98,136,5,2024-05-29,3,358.71
91,130,111,2,2025-02-13,4,149.2
92,168,142,4,2025-07-02,1,36.93
93,116,59,7,2025-04-11,4,228.2
94,117,103,7,2025-06-29,3,54.84
95,81,110,6,2024-05-09,1,27.03
96,96,40,8,2025-06-11,3,134.34
97,24,22,2,2025-01-02,1,15.18
98,25,96,3,2025-10-27,4,316.08
99,16,144,9,2025-09-20,5,166.05
100,172,32,7,2024-04-29,3,193.14
101,171,109,1,2024-09-29,3,94.17
102,154,80,6,2024-11-15,3,72.0
103,148,130,4,2024-09-23,1,83.77
104,169,124,4,2024-12-13,2,206.94
105,90,143,6,2023-11-25,1,73.68
106,196,72,10,2024-02-02,1,12.15
107,110,144,10,2025-06-13,2,78.08
108,173,143,1,2024-12-13,5,410.85
109,169,69,1,2024-08-25,5,517.35
110,70,80,6,2024-08-24,2,121.78
111,2,47,3,2025-01-22,3,93.45
112,169,103,2,2025-10-09,5,517.35
113,190,8,2,2025-11-01,2,37.72
114,56,97,7,2025-10-03,5,175.9
115,88,41,6,2025-02-22,4,69.92
116,185,84,10,2025-09-29,3,111.6
117,22,14,3,2025-08-11,5,269.65
118,194,13,2,2024-10-18,2,33.7
119,114,109,8,2023-12-01,3,240.24
120,114,107,5,2024-09-02,5,400.4
121,194,132,2,2024-10-26,2,33.7
122,111,29,5,2024-09-14,3,328.77
123,125,135,5,2025-05-15,5,462.2
124,57,102,10,2025-07-05,1,46.35
125,2,53,5,2024-02-14,1,31.15
126,197,36,5,2024-10-16,2,103.68
127,84,31,1,2024-01-27,3,48.87
128,192,111,3,2024-10-28,4,134.12
129,98,137,4,2025-09-22,2,239.14
130,144,91,2,2025-11-05,5,261.85
131,190,11,7,2025-10-24,4,75.44
132,118,20,6,2024-01-26,1,70.01
133,110,147,7,2025-01-28,5,195.2
134,75,30,7,2024-08-09,4,253.68
135,84,44,10,2025-06-05,1,16.29
136,177,93,2,2025-03-30,4,62.08
137,28,63,7,2024-10-18,4,150.64
138,103,135,2,2025-03-03,5,386.4
139,80,87,4,2024-09-21,4,284.52
140,200,44,2,2024-11-17,3,276.69
141,163,30,9,2025-03-25,5,412.35
142,50,90,6,2025-04-20,5,221.45
143,61,27,3,2024-05-20,2,124.06
144,51,45,10,2025-10-27,3,153.24
145,195,20,3,2025-09-28,2,219.06
146,119,145,10,2024-01-28,4,283.12
147,175,145,10,2024-05-23,4,227.08
148,161,81,3,2025-02-02,3,175.92
149,18,121,8,2023-12-19,4,214.08
150,71,15,6,2024-01-12,3,296.64
151,19,80,8,2024-09-01,5,128.6
152,10,15,6,2024-11-29,4,275.04
153,20,24,10,2024-03-01,3,275.85
154,130,99,8,2024-05-18,5,186.5
155,142,11,8,2024-10-16,5,450.7
156,167,49,6,2025-02-14,5,159.5
157,122,129,3,2025-04-07,5,165.55
158,116,27,6,2024-10-25,1,57.05
159,130,45,1,2024-12-04,1,37.3
160,182,113,8,2025-11-06,2,113.88
161,134,41,6,2025-08-17,5,217.85
162,73,100,7,2024-12-28,3,34.86
163,174,14,6,2024-03-28,3,313.95
164,85,25,9,2024-05-21,1,65.31
165,73,65,10,2025-10-24,4,46.48
166,86,21,10,2025-10-25,2,32.52
167,90,80,7,2024-11-28,2,147.36
168,153,22,5,2024-04-18,2,108.52
169,97,85,3,2024-05-05,5,55.1
170,24,109,9,2025-05-07,5,75.9
171,5,93,5,2025-03-09,3,63.33
172,55,88,8,2024-04-01,2,35.62
173,58,36,3,2025-07-31,2,81.26
174,76,26,9,2024-07-08,1,54.11
175,190,135,1,2024-11-04,5,94.3
176,197,34,10,2025-01-03,3,155.52
177,40,42,3,2024-11-01,4,182.64
178,43,113,1,2024-12-11,5,97.1
179,94,61,8,2025-02-07,4,145.04
180,73,115,4,2023-12-02,5,58.1
181,62,80,8,2025-05-31,5,101.9
182,95,147,8,2024-08-25,2,167.78
183,197,73,7,2024-07-29,4,207.36
184,136,108,3,2023-11-18,5,230.55
185,155,36,5,2024-04-02,2,226.88
186,165,124,6,2025-07-19,1,20.27
187,27,133,2,2024-01-17,5,377.75
188,22,42,5,2024-12-30,3,161.79
189,132,38,7,2024-05-18,4,57.04
190,57,116,6,2024-11-25,1,46.35
191,107,14,7,2023-11-29,1,70.85
192,96,61,7,2025-07-27,5,223.9
193,96,58,1,2024-12-01,1,44.78
194,26,86,3,2025-05-12,3,226.8
195,10,74,8,2025-05-02,2,137.52
196,195,121,8,2024-09-07,2,219.06
197,2,21,1,2024-06-20,5,155.75
198,56,39,9,2024-11-29,3,105.54
199,136,109,2,2025-10-20,5,230.55
200,61,78,2,2023-11-21,3,186.09
201,62,108,10,2024-07-10,1,20.38
202,17,29,8,2025-03-07,4,178.44
203,138,5,9,2024-04-13,5,269.8
204,62,37,5,2025-11-08,5,101.9
205,1,91,4,2024-03-01,4,316.6
206,107,48,2,2024-09-24,5,354.25
207,93,18,9,2025-10-27,5,162.35
208,130,130,9,2024-01-08,5,186.5
209,100,121,1,2024-04-02,1,112.66
210,96,65,1,2023-12-24,4,179.12
211,18,89,4,2024-11-28,3,160.56
212,198,149,6,2024-06-28,1,42.85
213,12,91,9,2024-10-02,2,171.4
214,165,45,8,2024-05-09,3,60.81
215,162,47,3,2024-04-02,4,248.2
216,184,118,1,2025-02-09,1,62.21
217,52,12,4,2024-01-12,3,69.93
218,81,80,9,2025-06-11,1,27.03
219,140,122,5,2024-09-05,4,118.56
220,193,49,5,2023-11-17,1,46.4
221,200,13,6,2023-11-30,3,276.69
222,32,95,7,2025-06-23,3,66.81
223,191,113,7,2025-10-24,4,208.52
224,48,128,8,2025-04-04,3,348.24
225,133,69,2,2024-02-03,3,95.85
226,21,111,10,2025-06-10,4,368.68
227,140,76,6,2024-11-29,2,59.28
228,21,84,5,2025-09-12,1,92.17
229,115,110,3,2024-10-02,3,274.62
230,90,115,1,2025-09-06,4,294.72
231,158,112,5,2024-03-28,3,30.12
232,20,104,6,2023-11-18,1,91.95
233,192,41,1,2025-01-09,5,167.65
234,156,113,1,2024-10-01,2,218.62
235,18,61,6,2024-05-17,2,107.04
236,99,146,1,2024-04-23,3,100.35
237,40,116,6,2025-05-27,5,228.3
238,114,20,10,2024-10-06,3,240.24
239,136,94,7,2024-08-22,2,92.22
240,167,72,4,2025-07-10,3,95.7
241,7,48,8,2025-05-23,1,50.72
242,100,144,2,2025-08-16,5,563.3
243,199,67,8,2024-07-02,3,324.24
244,157,74,8,2024-12-27,2,86.2
245,32,35,2,2025-04-27,2,44.54
246,45,114,2,2025-04-14,4,376.96
247,171,89,2,2025-04-01,3,94.17
248,139,75,5,2025-01-21,5,566.6
249,183,45,6,2024-11-20,2,217.38
250,58,32,4,2024-02-06,5,203.15
251,61,127,1,2024-03-03,2,124.06
252,142,147,6,2025-06-09,3,270.42
253,142,34,10,2025-07-30,4,360.56
254,17,80,7,2025-01-15,1,44.61
255,135,106,7,2024-04-28,4,50.4
256,19,33,6,2025-09-26,5,128.6
257,116,120,9,2024-07-01,1,57.05
258,33,142,10,2024-05-13,3,179.73
259,197,34,7,2024-03-05,2,103.68
260,15,32,9,2024-03-10,5,223.5
261,78,43,3,2024-01-22,2,223.84
262,182,58,6,2024-04-21,3,170.82
263,73,21,5,2023-11-28,5,58.1
264,163,142,5,2025-03-11,2,164.94
265,161,78,10,2025-03-07,2,117.28
266,24,129,3,2024-08-03,5,75.9
267,149,40,3,2023-12-01,5,88.5
268,185,87,10,2025-04-14,5,186.0
269,8,21,1,2024-08-29,1,39.37
270,68,54,10,2025-01-07,5,155.35
271,159,8,8,2025-10-21,4,229.16
272,75,78,8,2025-01-22,5,317.1
273,176,104,5,2024-01-18,2,230.76
274,19,16,3,2024-01-12,4,102.88
275,107,124,8,2024-07-03,4,283.4
276,88,37,6,2025-08-15,2,34.96
277,188,89,7,2024-09-26,3,55.56
278,195,95,9,2024-04-17,2,219.06
279,28,82,4,2024-11-23,5,188.3
280,32,69,8,2023-11-14,4,89.08
281,37,25,1,2024-01-21,2,153.98
282,99,108,4,2024-05-22,3,100.35
283,84,148,6,2025-05-08,2,32.58
284,196,41,8,2025-09-29,2,24.3
285,120,128,5,2024-09-10,5,73.0
286,6,24,7,2025-07-04,4,319.72
287,118,62,4,2024-04-03,5,350.05
288,91,13,1,2024-08-17,5,95.1
289,127,121,5,2025-05-18,3,38.19
290,3,28,7,2025-05-11,5,413.7
291,68,94,7,2025-09-17,2,62.14
292,12,103,1,2025-02-02,3,257.1
293,144,50,6,2024-02-17,5,261.85
294,74,19,7,2025-04-27,5,516.8
295,116,141,5,2023-11-29,5,285.25
296,175,31,3,2025-08-20,5,283.85
297,101,96,6,2025-03-03,1,50.65
298,94,37,4,2023-12-27,5,181.3
299,131,103,9,2024-07-12,5,435.7
300,12,10,3,2024-02-10,1,85.7
301,122,133,8,2024-08-17,3,99.33
302,156,132,3,2024-12-27,2,218.62
303,157,82,3,2024-07-20,3,129.3
304,158,77,10,2024-03-18,4,40.16
305,130,131,9,2025-06-05,3,111.9
306,182,145,5,2023-11-27,4,227.76
307,5,95,6,2025-01-04,4,84.44
308,107,150,5,2024-10-21,1,70.85
309,153,122,5,2025-07-31,1,54.26
310,148,59,1,2024-06-19,5,418.85
311,123,44,9,2024-04-06,5,106.55
312,199,98,3,2023-12-24,5,540.4
313,9,147,2,2024-08-11,2,35.7
314,5,113,6,2025-09-17,2,42.22
315,39,106,4,2025-10-08,4,445.88
316,129,121,1,2025-01-24,4,334.76
317,133,54,9,2024-09-08,2,63.9
318,170,123,9,2024-04-29,3,166.77
319,81,45,8,2025-11-01,4,108.12
320,88,140,6,2025-07-02,5,87.4
321,157,124,4,2025-04-24,3,129.3
322,72,143,5,2024-07-15,2,31.12
323,77,74,4,2024-01-13,2,103.38
324,82,123,6,2024-03-17,4,466.24
325,185,71,5,2024-06-26,5,186.0
326,147,140,7,2024-05-02,1,89.14
327,89,38,5,2025-06-20,4,92.76
328,74,21,6,2024-01-25,1,103.36
329,168,66,8,2024-07-10,4,147.72
330,52,138,5,2023-11-24,2,46.62
331,179,70,3,2024-06-11,5,305.55
332,158,62,4,2024-09-08,1,10.04
333,172,136,4,2023-11-29,1,64.38
334,14,26,7,2025-05-02,2,32.3
335,184,121,2,2025-01-25,3,186.63
336,2,141,3,2025-04-27,2,62.3
337,168,122,8,2025-07-02,4,147.72
338,194,74,6,2024-05-08,2,33.7
339,166,16,2,2024-05-11,3,252.03
340,60,137,1,2025-07-13,5,366.9
341,107,46,1,2025-06-25,2,141.7
342,127,48,5,2024-09-15,4,50.92
343,3,77,10,2024-07-25,1,82.74
344,28,86,5,2025-06-02,5,188.3
345,165,140,9,2025-03-16,4,81.08
346,35,130,8,2024-03-16,4,118.6
347,50,29,6,2025-07-04,3,132.87
348,188,118,5,2024-07-28,2,37.04
349,4,87,5,2024-06-07,2,236.74
350,173,50,3,2024-09-08,5,410.85
351,164,104,7,2023-12-08,5,415.1
352,84,23,7,2024-04-02,5,81.45
353,48,36,8,2024-11-07,1,116.08
354,64,2,5,2023-12-01,3,315.06
355,61,115,5,2025-07-27,4,248.12
356,78,150,10,2025-06-21,3,335.76
357,67,93,4,2024-12-25,1,98.07
358,171,31,8,2024-09-04,1,31.39
359,41,104,9,2025-01-08,3,336.6
360,177,31,5,2023-11-26,3,46.56
361,158,57,4,2025-08-23,3,30.12
362,123,40,8,2024-11-04,2,42.62
363,96,107,9,2025-07-01,5,223.9
364,194,138,4,2024-10-02,4,67.4
365,175,21,9,2025-02-11,2,113.54
366,136,93,2,2024-09-24,4,184.44
367,29,16,9,2024-01-11,5,568.35
368,52,147,9,2024-08-24,5,116.55
369,43,84,9,2024-05-27,2,38.84
370,30,53,10,2025-07-17,4,90.4
371,24,131,8,2025-03-23,4,60.72
372,117,34,9,2025-09-15,1,18.28
373,117,145,1,2023-11-25,4,73.12
374,119,79,1,2025-06-22,5,353.9
375,66,1,4,2024-04-12,4,66.68
376,19,12,7,2023-12-09,5,128.6
377,180,17,9,2024-12-16,3,226.5
378,18,121,1,2025-05-29,1,53.52
379,105,47,3,2024-01-14,3,337.47
380,96,98,8,2025-01-12,4,179.12
381,97,21,9,2025-06-15,4,44.08
382,168,90,2,2025-03-13,2,73.86
383,138,101,9,2025-10-02,2,107.92
384,187,58,1,2024-12-29,2,157.88
385,77,119,9,2024-08-07,1,51.69
386,137,98,4,2025-09-01,4,162.8
387,118,89,3,2023-12-01,2,140.02
388,49,29,1,2024-09-06,3,270.87
389,158,5,4,2023-12-14,4,40.16
390,18,26,10,2025-09-17,2,107.04
391,115,13,4,2025-06-05,1,91.54
392,103,113,4,2025-09-28,1,77.28
393,56,15,3,2025-02-28,5,175.9
394,75,60,10,2025-08-22,5,317.1
395,148,83,4,2024-02-12,3,251.31
396,37,134,4,2024-09-09,3,230.97
397,77,71,1,2024-04-21,4,206.76
398,152,45,7,2024-12-24,5,220.1
399,127,13,6,2025-01-07,5,63.65
400,135,82,7,2024-09-28,4,50.4
401,39,77,7,2023-12-27,4,445.88
402,194,138,8,2025-04-29,2,33.7
403,58,77,3,2025-05-26,2,81.26
404,15,144,7,2024-07-03,4,178.8
405,143,136,3,2024-08-30,4,306.72
406,63,66,4,2025-10-13,4,195.88
407,166,21,8,2025-04-02,3,252.03
408,24,138,4,2024-09-17,3,45.54
409,69,97,10,2025-10-17,1,25.42
410,11,19,4,2024-09-27,5,304.25
411,186,144,4,2024-05-05,5,471.2
412,54,86,5,2024-01-01,4,141.24
413,55,49,2,2024-06-26,1,17.81
414,63,53,7,2024-01-01,4,195.88
415,142,83,5,2025-04-10,2,180.28
416,120,137,6,2024-01-29,4,58.4
417,67,93,9,2023-12-29,3,294.21
418,120,26,8,2025-10-11,4,58.4
419,53,95,6,2023-11-22,3,141.57
420,12,145,4,2025-06-05,4,342.8
421,5,67,9,2025-06-03,2,42.22
422,149,107,5,2024-11-29,5,88.5
423,51,85,4,2025-08-17,2,102.16
424,146,63,8,2024-06-05,4,40.76
425,168,87,5,2025-08-24,5,184.65
426,186,126,8,2025-05-24,4,376.96
427,188,91,3,2025-09-30,2,37.04
428,185,140,8,2025-01-14,2,74.4
429,139,16,9,2024-01-20,2,226.64
430,20,13,1,2025-09-25,1,91.95
431,36,60,2,2025-09-26,4,315.12
432,3,56,9,2024-07-15,2,165.48
433,96,16,10,2024-06-09,4,179.12
434,124,125,1,2024-02-12,5,536.25
435,137,142,7,2025-04-11,1,40.7
436,5,136,5,2024-03-01,1,21.11
437,74,5,9,2024-08-09,5,516.8
438,46,28,2,2025-08-21,4,249.12
439,39,62,4,2024-01-10,5,557.35
440,135,65,6,2024-06-03,5,63.0
441,102,21,6,2025-02-05,3,305.13
442,118,145,4,2024-02-10,4,280.04
443,77,21,1,2023-12-12,2,103.38
444,104,98,7,2025-08-22,1,10.86
445,122,15,1,2025-04-17,5,165.55
446,22,128,7,2024-06-19,2,107.86
447,145,25,9,2023-12-02,3,114.06
448,59,55,10,2024-12-14,1,69.32
449,70,12,2,2025-04-03,4,243.56
450,140,145,1,2023-11-11,3,88.92
451,81,5,4,2024-01-01,2,54.06
452,37,102,2,2023-11-30,5,384.95
453,42,145,4,2024-04-01,3,49.11
454,100,139,6,2025-09-04,5,563.3
455,194,36,2,2024-07-19,4,67.4
456,191,89,1,2024-11-24,5,260.65
457,112,60,2,2025-10-02,1,79.77
458,155,102,6,2024-03-12,3,340.32
459,163,70,8,2025-06-07,1,82.47
460,59,92,9,2024-03-09,4,277.28
461,111,48,10,2025-04-29,4,438.36
462,22,76,4,2024-09-16,4,215.72
463,22,69,3,2025-08-05,1,53.93
464,183,40,7,2024-06-23,4,434.76
465,93,28,2,2025-01-04,3,97.41
466,79,114,6,2024-06-25,1,56.53
467,27,34,2,2024-06-23,3,226.65
468,111,115,9,2024-11-19,2,219.18
469,132,105,2,2024-08-18,5,71.3
470,23,91,9,2025-03-15,1,66.05
471,153,84,7,2023-11-29,1,54.26
472,75,106,7,2024-04-04,1,63.42
473,186,144,4,2024-02-05,1,94.24
474,134,44,7,2025-07-19,5,217.85
475,36,69,5,2024-05-22,2,157.56
476,127,38,2,2024-02-08,3,38.19
477,112,71,7,2024-09-28,2,159.54
478,124,20,6,2024-04-01,3,321.75
479,64,127,10,2024-09-08,3,315.06
480,51,118,2,2025-08-04,5,255.4
481,78,2,7,2025-05-12,2,223.84
482,159,98,6,2024-01-02,3,171.87
483,86,111,10,2024-10-17,4,65.04
484,77,83,10,2025-10-03,2,103.38
485,123,81,3,2024-02-14,2,42.62
486,82,75,8,2024-08-31,4,466.24
487,63,84,7,2024-07-19,5,244.85
488,101,94,2,2025-02-26,3,151.95
489,52,140,3,2024-01-05,5,116.55
490,7,119,4,2025-03-25,5,253.6
491,75,18,7,2024-03-18,4,253.68
492,36,78,4,2024-02-16,4,315.12
493,169,40,7,2024-06-22,3,310.41
494,19,115,10,2025-03-12,4,102.88
495,150,103,9,2024-12-08,4,314.2
496,178,108,9,2025-06-16,5,116.75
497,93,138,10,2025-10-11,1,32.47
498,28,64,6,2025-02-25,1,37.66
499,166,12,10,2025-02-20,2,168.02
500,193,85,7,2025-03-15,4,185.6
501,3,26,5,2025-07-18,1,82.74
502,131,133,9,2024-10-06,2,174.28
503,177,148,4,2024-08-02,5,77.6
504,96,101,8,2025-08-25,4,179.12
505,177,129,3,2023-11-13,5,77.6
506,7,124,2,2024-08-21,3,152.16
507,107,22,2,2024-06-15,3,212.55
508,90,80,6,2024-07-18,2,147.36
509,53,134,8,2024-01-09,4,188.76
510,122,25,8,2025-03-13,3,99.33
511,82,18,5,2025-03-06,4,466.24
512,182,30,1,2024-02-14,1,56.94
513,166,28,3,2024-11-04,3,252.03
514,133,45,9,2025-10-17,2,63.9
515,85,144,7,2024-03-18,2,130.62
516,60,104,3,2024-04-29,4,293.52
517,164,111,7,2025-08-17,2,166.04
518,189,51,8,2024-10-30,1,39.89
519,110,100,1,2024-12-04,5,195.2
520,53,72,2,2025-03-26,2,94.38
521,27,138,3,2024-11-18,5,377.75
522,84,51,8,2023-12-02,3,48.87
523,68,126,9,2024-11-16,1,31.07
524,153,100,10,2024-04-17,3,162.78
525,151,30,6,2025-04-28,4,94.84
526,118,45,5,2025-06-25,3,210.03
527,152,22,3,2024-12-10,5,220.1
528,31,62,5,2025-09-28,3,118.05
529,47,96,3,2024-11-20,1,39.16
530,100,108,10,2025-02-14,5,563.3
531,148,99,7,2024-07-13,2,167.54
532,125,138,3,2025-01-03,2,184.88
533,43,126,5,2025-02-18,5,97.1
534,48,81,8,2025-05-21,2,232.16
535,14,92,1,2024-04-13,5,80.75
536,35,50,7,2024-02-27,4,118.6
537,130,127,7,2024-04-18,5,186.5
538,107,114,8,2024-04-08,4,283.4
539,22,145,1,2025-06-29,2,107.86
540,75,9,5,2024-05-21,2,126.84
541,138,74,3,2023-11-29,2,107.92
542,145,127,9,2025-01-04,4,152.08
543,29,147,2,2024-06-10,5,568.35
544,199,140,6,2024-03-11,3,324.24
545,194,11,8,2023-12-22,5,84.25
546,56,109,2,2024-08-14,5,175.9
547,77,9,8,2025-07-17,2,103.38
548,90,23,8,2024-03-09,3,221.04
549,199,61,4,2024-05-01,1,108.08
550,177,90,10,2024-09-19,5,77.6
551,43,36,4,2024-03-18,4,77.68
552,16,146,6,2025-09-30,2,66.42
553,72,138,3,2024-07-31,5,77.8
554,181,75,5,2025-05-11,3,232.17
555,69,132,2,2025-02-12,5,127.1
556,193,106,1,2024-11-11,2,92.8
557,168,33,3,2024-03-29,3,110.79
558,38,83,4,2025-07-15,2,187.76
559,126,37,10,2024-04-04,4,111.52
560,161,107,7,2024-01-26,3,175.92
561,20,24,7,2024-03-14,4,367.8
562,192,72,6,2025-06-08,5,167.65
563,125,84,10,2025-04-07,4,369.76
564,199,24,8,2025-02-04,1,108.08
565,17,137,7,2025-01-05,3,133.83
566,110,55,8,2023-12-23,2,78.08
567,83,73,6,2025-04-26,3,208.92
568,148,34,10,2024-06-06,5,418.85
569,88,13,1,2024-05-02,4,69.92
570,161,118,1,2025-07-15,1,58.64
571,41,113,8,2024-08-07,1,112.2
572,110,52,3,2024-01-25,1,39.04
573,41,71,2,2025-07-17,3,336.6
574,65,22,6,2024-04-14,3,245.64
575,14,102,5,2024-08-14,2,32.3
576,110,24,2,2025-11-09,2,78.08
577,55,123,2,2023-11-29,1,17.81
578,152,58,9,2025-06-19,2,88.04
579,3,3,6,2023-11-29,4,330.96
580,109,34,8,2025-07-17,1,32.4
581,59,99,2,2025-05-12,1,69.32
582,27,81,6,2023-11-18,1,75.55
583,36,98,3,2025-06-26,3,236.34
584,18,136,10,2024-11-05,2,107.04
585,157,43,8,2024-02-02,1,43.1
586,185,55,3,2025-04-13,3,111.6
587,158,114,4,2025-02-03,4,40.16
588,26,36,2,2025-10-10,1,75.6
589,187,99,6,2024-09-05,5,394.7
590,81,36,4,2025-09-26,4,108.12
591,166,22,4,2024-04-11,3,252.03
592,154,73,1,2025-08-07,5,120.0
593,53,133,10,2024-11-01,3,141.57
594,49,101,5,2024-10-08,5,451.45
595,62,127,7,2023-11-13,1,20.38
596,62,128,10,2025-04-06,1,20.38
597,136,4,6,2025-08-05,1,46.11
598,34,100,10,2025-05-19,3,116.91
599,94,140,3,2024-09-18,4,145.04
600,198,19,1,2024-09-24,4,171.4
601,18,4,5,2024-08-20,5,267.6
602,11,16,7,2025-10-01,2,121.7
603,74,129,7,2024-06-16,5,516.8
604,180,103,2,2025-07-28,4,302.0
605,138,40,5,2025-04-17,5,269.8
606,80,21,9,2024-11-11,1,71.13
607,40,138,6,2024-02-04,2,91.32
608,151,17,5,2023-12-20,4,94.84
609,187,62,1,2025-03-05,4,315.76
610,23,112,2,2024-03-03,2,132.1
611,157,15,5,2024-02-04,4,172.4
612,31,4,3,2024-03-11,2,78.7
613,42,128,6,2024-03-04,1,16.37
614,133,67,3,2024-10-31,5,159.75
615,33,69,2,2024-12-06,3,179.73
616,86,110,5,2025-01-19,1,16.26
617,17,68,10,2025-01-12,5,223.05
618,128,117,9,2025-07-14,1,96.06
619,15,128,10,2024-12-26,3,134.1
620,95,41,5,2023-11-29,2,167.78
621,147,30,4,2025-06-03,1,89.14
622,1,12,1,2024-11-19,5,395.75
623,12,121,6,2025-03-17,2,171.4
624,39,46,1,2025-02-10,4,445.88
625,183,108,4,2025-06-23,5,543.45
626,64,107,6,2023-12-19,3,315.06
627,20,147,6,2024-09-26,3,275.85
628,129,14,3,2024-11-26,1,83.69
629,133,12,7,2025-10-17,2,63.9
630,120,73,5,2024-01-24,1,14.6
631,23,142,8,2025-06-25,3,198.15
632,95,52,5,2025-07-15,1,83.89
633,78,63,8,2025-03-31,5,559.6
634,152,127,4,2025-06-13,3,132.06
635,195,63,3,2025-05-01,5,547.65
636,105,7,4,2024-11-27,1,112.49
637,89,3,6,2024-05-13,5,115.95
638,195,97,5,2025-01-06,1,109.53
639,53,136,4,2025-06-20,1,47.19
640,126,16,3,2025-09-21,4,111.52
641,24,12,4,2025-05-31,3,45.54
642,106,96,8,2025-01-26,5,195.45
643,149,25,9,2024-01-09,1,17.7
644,164,101,2,2024-11-21,2,166.04
645,146,16,7,2025-09-14,5,50.95
646,61,75,5,2024-07-10,2,124.06
647,101,84,6,2024-07-15,3,151.95
648,70,60,2,2024-08-24,4,243.56
649,35,150,2,2025-09-17,2,59.3
650,28,43,8,2025-03-01,2,75.32
651,81,105,2,2024-12-14,4,108.12
652,92,54,8,2025-02-12,5,360.85
653,119,68,2,2024-01-28,3,212.34
654,41,78,10,2025-10-16,1,112.2
655,56,84,3,2024-04-28,1,35.18
656,183,64,6,2025-08-05,1,108.69
657,132,13,5,2024-05-12,4,57.04
658,45,8,7,2024-04-23,3,282.72
659,143,141,4,2025-08-20,4,306.72
660,119,27,3,2025-11-10,1,70.78
661,4,16,4,2025-02-02,1,118.37
662,51,103,6,2024-09-26,2,102.16
